[30-Mar-2025 13:23:17 Europe/Berlin] PHP Warning:  Attempt to read property "date_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 229
[30-Mar-2025 13:23:17 Europe/Berlin] PHP Warning:  Attempt to read property "heure_depart" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 229
[30-Mar-2025 13:23:17 Europe/Berlin] PHP Warning:  Attempt to read property "date_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 232
[30-Mar-2025 13:23:17 Europe/Berlin] PHP Warning:  Attempt to read property "heure_arrivee" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 232
[30-Mar-2025 13:23:17 Europe/Berlin] PHP Warning:  Attempt to read property "nb_place" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 240
[30-Mar-2025 13:23:17 Europe/Berlin] PHP Warning:  Attempt to read property "prix_personne" on array in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 243
[30-Mar-2025 13:23:46 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$nom in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 210
[30-Mar-2025 13:23:46 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$prenom in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 210
[30-Mar-2025 13:24:31 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$nom in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 210
[30-Mar-2025 13:24:31 Europe/Berlin] PHP Warning:  Undefined property: stdClass::$prenom in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 210
[30-Mar-2025 13:32:51 Europe/Berlin] PHP Warning:  Undefined variable $result in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 73
[30-Mar-2025 13:32:51 Europe/Berlin] PHP Warning:  Trying to access array offset on value of type null in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 73
[30-Mar-2025 13:32:51 Europe/Berlin] PHP Warning:  Trying to access array offset on value of type null in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 74
[30-Mar-2025 13:32:51 Europe/Berlin] PHP Warning:  Undefined variable $researcheResult in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 203
[30-Mar-2025 13:32:51 Europe/Berlin] PHP Warning:  foreach() argument must be of type array|object, null given in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 203
[30-Mar-2025 13:33:04 Europe/Berlin] PHP Warning:  Undefined variable $result in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 73
[30-Mar-2025 13:33:04 Europe/Berlin] PHP Warning:  Trying to access array offset on value of type null in /Users/macosdev/Documents/GitHub/ecoRide-DrissBenkirane/pages/covoiturage.php on line 73
